order_id,pickup_city,dropoff_city,pickup_start,pickup_end,weight_tons,cargo_description,cargo_category,status
ORD-0001,Cirebon,Jakarta,2026-09-09,2026-09-13,9.8,4 sak semen untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0002,Solo,Semarang,2026-09-01,2026-09-02,3.0,58 kotak keramik lantai untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0003,Surabaya,Yogyakarta,2026-09-16,2026-09-18,3.3,10 kabel listrik rol untuk pengiriman elektronik,elektronik,active
ORD-0004,Yogyakarta,Depok,2026-09-12,2026-09-15,0.8,38 gulungan kain katun untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0005,Bandar Lampung,Jakarta,2026-09-17,2026-09-19,2.6,44 gulungan kain katun untuk pengiriman tekstil & garmen,tekstil & garmen,closed
ORD-0006,Bandung,Semarang,2026-09-19,2026-09-21,7.2,60 bal benang untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0007,Bogor,Bandung,2026-09-14,2026-09-15,5.2,60 ikatan besi beton untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0008,Jakarta,Solo,2026-09-15,2026-09-16,2.0,57 mesin cuci portable untuk pengiriman elektronik,elektronik,active
ORD-0009,Depok,Surabaya,2026-09-08,2026-09-10,4.5,43 bal kemasan plastik untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0010,Depok,Jakarta,2026-09-04,2026-09-06,6.9,19 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0011,Surabaya,Bandar Lampung,2026-09-07,2026-09-10,1.1,54 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0012,Bandar Lampung,Bekasi,2026-09-13,2026-09-16,5.3,36 dus karton kosong untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0013,Solo,Pekanbaru,2026-09-04,2026-09-05,7.2,28 galon minuman kemasan untuk pengiriman makanan & minuman,makanan & minuman,active
ORD-0014,Cirebon,Bogor,2026-09-20,2026-09-21,3.0,43 karton pakaian jadi untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0015,Yogyakarta,Tangerang,2026-09-14,2026-09-15,3.3,52 set televisi LCD untuk pengiriman elektronik,elektronik,active
ORD-0016,Palembang,Bandung,2026-09-01,2026-09-03,8.2,18 karton botol plastik untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0017,Surabaya,Pekanbaru,2026-09-13,2026-09-15,1.1,23 rak besi siap rakit untuk pengiriman furnitur,furnitur,active
ORD-0018,Jakarta,Bandung,2026-09-19,2026-09-20,5.1,50 bal kemasan plastik untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0019,Solo,Makassar,2026-09-11,2026-09-12,1.0,38 sak gabah panen untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0020,Tangerang,Bandung,2026-09-04,2026-09-08,7.5,25 bal kemasan plastik untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0021,Bogor,Medan,2026-09-02,2026-09-06,8.4,24 karton pakaian jadi untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0022,Bandar Lampung,Depok,2026-09-11,2026-09-14,4.1,21 kabel listrik rol untuk pengiriman elektronik,elektronik,active
ORD-0023,Depok,Cirebon,2026-09-05,2026-09-07,9.1,40 lemari kayu jadi untuk pengiriman furnitur,furnitur,active
ORD-0024,Cirebon,Medan,2026-09-01,2026-09-04,7.5,30 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0025,Surabaya,Tangerang,2026-09-17,2026-09-21,8.1,6 karung beras kemasan untuk pengiriman makanan & minuman,makanan & minuman,active
ORD-0026,Malang,Jakarta,2026-09-10,2026-09-12,11.8,30 sak semen untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0027,Yogyakarta,Bekasi,2026-09-07,2026-09-11,8.4,50 karton suku cadang mobil untuk pengiriman otomotif,otomotif,active
ORD-0028,Bogor,Bandar Lampung,2026-09-17,2026-09-21,1.9,52 karton pakaian jadi untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0029,Semarang,Malang,2026-09-18,2026-09-21,6.3,58 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0030,Pekanbaru,Tangerang,2026-09-19,2026-09-20,9.9,41 karung pakan ternak untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0031,Depok,Palembang,2026-09-09,2026-09-11,4.6,9 karton komponen elektronik untuk pengiriman elektronik,elektronik,active
ORD-0032,Solo,Semarang,2026-09-14,2026-09-16,4.5,4 kabel listrik rol untuk pengiriman elektronik,elektronik,active
ORD-0033,Medan,Jakarta,2026-09-14,2026-09-17,1.1,20 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0034,Pekanbaru,Cirebon,2026-09-14,2026-09-16,0.8,43 drum oli mesin untuk pengiriman otomotif,otomotif,active
ORD-0035,Cirebon,Solo,2026-09-06,2026-09-10,10.9,6 karton mie instan untuk pengiriman makanan & minuman,makanan & minuman,closed
ORD-0036,Bekasi,Bandung,2026-09-15,2026-09-17,5.7,49 bal benang untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0037,Depok,Malang,2026-09-14,2026-09-17,1.1,15 mesin cuci portable untuk pengiriman elektronik,elektronik,active
ORD-0038,Medan,Bogor,2026-09-21,2026-09-22,0.7,16 karton pakaian jadi untuk pengiriman tekstil & garmen,tekstil & garmen,closed
ORD-0039,Malang,Bekasi,2026-09-14,2026-09-16,2.7,50 karton suku cadang mobil untuk pengiriman otomotif,otomotif,active
ORD-0040,Makassar,Pekanbaru,2026-09-04,2026-09-05,4.8,5 sak gabah panen untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0041,Pekanbaru,Yogyakarta,2026-09-08,2026-09-09,1.9,23 karung pupuk urea untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0042,Surabaya,Pekanbaru,2026-09-03,2026-09-06,1.7,41 bal benang untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0043,Semarang,Makassar,2026-09-05,2026-09-09,3.6,30 kotak snack ringan untuk pengiriman makanan & minuman,makanan & minuman,active
ORD-0044,Malang,Jakarta,2026-09-09,2026-09-12,10.6,49 tumpukan bata ringan untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0045,Yogyakarta,Depok,2026-09-13,2026-09-16,6.1,52 bal benang untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0046,Depok,Jakarta,2026-09-12,2026-09-15,8.9,32 kabel listrik rol untuk pengiriman elektronik,elektronik,active
ORD-0047,Tangerang,Jakarta,2026-09-16,2026-09-20,3.0,20 set ban baru untuk pengiriman otomotif,otomotif,active
ORD-0048,Bandung,Yogyakarta,2026-09-18,2026-09-21,4.5,18 rak besi siap rakit untuk pengiriman furnitur,furnitur,closed
ORD-0049,Bandung,Yogyakarta,2026-09-15,2026-09-17,1.9,13 karton botol plastik untuk pengiriman plastik & kemasan,plastik & kemasan,active
ORD-0050,Pekanbaru,Bandung,2026-09-13,2026-09-14,3.8,1 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0051,Bekasi,Bogor,2026-09-02,2026-09-03,10.5,7 karung pakan ternak untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0052,Solo,Makassar,2026-09-16,2026-09-20,3.4,8 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0053,Bandung,Yogyakarta,2026-09-03,2026-09-04,4.0,8 galon minuman kemasan untuk pengiriman makanan & minuman,makanan & minuman,active
ORD-0054,Cirebon,Semarang,2026-09-20,2026-09-22,10.4,20 rak besi siap rakit untuk pengiriman furnitur,furnitur,active
ORD-0055,Jakarta,Bogor,2026-09-04,2026-09-06,3.3,11 sak semen untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0056,Depok,Tangerang,2026-09-08,2026-09-09,4.1,5 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0057,Bandar Lampung,Tangerang,2026-09-21,2026-09-23,2.2,53 kasur spring bed untuk pengiriman furnitur,furnitur,active
ORD-0058,Depok,Bandar Lampung,2026-09-16,2026-09-19,8.8,8 seragam kerja siap kirim untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0059,Depok,Yogyakarta,2026-09-13,2026-09-16,10.7,39 drum oli mesin untuk pengiriman otomotif,otomotif,active
ORD-0060,Bandung,Jakarta,2026-09-10,2026-09-13,8.8,37 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0061,Malang,Bogor,2026-09-11,2026-09-13,4.2,41 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0062,Makassar,Surabaya,2026-09-16,2026-09-19,10.4,27 kasur spring bed untuk pengiriman furnitur,furnitur,active
ORD-0063,Depok,Tangerang,2026-09-13,2026-09-14,1.8,56 kotak aki kering untuk pengiriman otomotif,otomotif,active
ORD-0064,Makassar,Semarang,2026-09-18,2026-09-22,7.7,41 rak besi siap rakit untuk pengiriman furnitur,furnitur,active
ORD-0065,Jakarta,Malang,2026-09-09,2026-09-11,1.9,46 sak gabah panen untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0066,Solo,Pekanbaru,2026-09-12,2026-09-13,1.2,30 karton suku cadang mobil untuk pengiriman otomotif,otomotif,active
ORD-0067,Surabaya,Tangerang,2026-09-05,2026-09-09,10.1,16 karung pakan ternak untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0068,Bekasi,Medan,2026-09-07,2026-09-09,5.3,53 mesin cuci portable untuk pengiriman elektronik,elektronik,active
ORD-0069,Cirebon,Bandung,2026-09-15,2026-09-17,2.0,30 seragam kerja siap kirim untuk pengiriman tekstil & garmen,tekstil & garmen,active
ORD-0070,Pekanbaru,Bandung,2026-09-08,2026-09-12,4.2,46 kotak keramik lantai untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0071,Bandung,Bekasi,2026-09-21,2026-09-23,11.6,56 drum oli mesin untuk pengiriman otomotif,otomotif,closed
ORD-0072,Solo,Bandung,2026-09-11,2026-09-12,9.4,5 set televisi LCD untuk pengiriman elektronik,elektronik,active
ORD-0073,Makassar,Medan,2026-09-11,2026-09-15,10.4,21 kabel listrik rol untuk pengiriman elektronik,elektronik,active
ORD-0074,Palembang,Surabaya,2026-09-16,2026-09-17,3.8,48 set televisi LCD untuk pengiriman elektronik,elektronik,active
ORD-0075,Malang,Jakarta,2026-09-08,2026-09-11,1.2,51 mesin cuci portable untuk pengiriman elektronik,elektronik,active
ORD-0076,Cirebon,Yogyakarta,2026-09-14,2026-09-15,5.8,11 sak gabah panen untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0077,Yogyakarta,Solo,2026-09-09,2026-09-10,2.4,30 tumpukan bata ringan untuk pengiriman bahan bangunan,bahan bangunan,active
ORD-0078,Semarang,Bekasi,2026-09-01,2026-09-05,5.6,38 krat hasil pertanian untuk pengiriman pertanian & pupuk,pertanian & pupuk,active
ORD-0079,Malang,Bandung,2026-09-10,2026-09-12,3.1,7 seragam kerja siap kirim untuk pengiriman tekstil & garmen,tekstil & garmen,active
